frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"18","Dec  2, 2022 15:45:40.770659000 EST","102.0.0.11","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","0","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.818201000","0.000091000","0.061156000","0.000091000",
"19","Dec  2, 2022 15:45:40.771203000 EST","101.0.0.10","102.0.0.11","6","66","52","1","0",,,,"64","65024","156","412","0","0","0","0x0011","0.000544000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.818745000","0.000544000","0.061700000","0.000544000",
"20","Dec  2, 2022 15:45:40.801167000 EST","102.0.0.11","101.0.0.10","6","66","52","1","0",,,,"62","64128","413","156","0","0","0","0x0010","0.029964000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.848709000","0.029964000","0.091664000","0.029964000",
"21","Dec  2, 2022 15:45:41.185707000 EST","102.0.0.14","101.0.0.10","6","74","60","1","0",,,,"62","64240","0","0","0","1","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.233249000","0.384540000","0.000000000","0.000000000",
"22","Dec  2, 2022 15:45:41.186109000 EST","101.0.0.10","102.0.0.14","6","74","60","1","0",,,,"64","65160","1","0","0","1","0","0x0012","0.000402000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.233651000","0.000402000","0.000402000","0.000402000",
"23","Dec  2, 2022 15:45:41.216161000 EST","102.0.0.14","101.0.0.10","6","66","52","1","0",,,,"62","64256","1","1","0","1","0","0x0010","0.030052000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.263703000","0.030052000","0.030454000","0.030052000",
"24","Dec  2, 2022 15:45:41.216257000 EST","102.0.0.14","101.0.0.10","6","220","206","1","0",,,,"62","64256","1","1","154","1","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"66.263799000","0.000096000","0.030550000","0.000096000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a206576696c2e646e650d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32382e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"25","Dec  2, 2022 15:45:41.216527000 EST","101.0.0.10","102.0.0.14","6","66","52","1","0",,,,"64","65024","155","1","0","1","0","0x0010","0.000270000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.264069000","0.000270000","0.030820000","0.000270000",
"26","Dec  2, 2022 15:45:41.216955000 EST","101.0.0.10","102.0.0.14","6","477","463","1","0",,,,"64","65024","155","1","411","1","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.264497000","0.000428000","0.031248000","0.000428000","485454502f312e3120343034204e6f7420466f756e640d0a446174653a204672692c2030322044656320323032322032303a34353a343120474d540d0a5365727665723a204170616368652f322e342e35342028556e6978290d0a436f6e74656e742d4c656e6774683a203139360d0a4b6565702d416c6976653a2074696d656f75743d352c206d61783d3130300d0a436f6e6e656374696f6e3a204b6565702d416c6976650d0a436f6e74656e742d547970653a20746578742f68746d6c3b20636861727365743d69736f2d383835392d310d0a0d0a3c21444f43545950452048544d4c205055424c494320222d2f2f494554462f2f4454442048544d4c20322e302f2f454e223e0a3c68746d6c3e3c686561643e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c2f686561643e3c626f64793e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e2074686973207365727665722e3c2f703e0a3c2f626f64793e3c2f68746d6c3e0a"
"27","Dec  2, 2022 15:45:41.246546000 EST","102.0.0.14","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","1","0","0x0010","0.029591000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.294088000","0.029591000","0.060839000","0.029591000",
"28","Dec  2, 2022 15:45:41.246628000 EST","102.0.0.14","101.0.0.10","6","66","52","1","0",,,,"62","64128","412","155","0","1","0","0x0011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.294170000","0.000082000","0.060921000","0.000082000",
"29","Dec  2, 2022 15:45:41.247111000 EST","101.0.0.10","102.0.0.14","6","66","52","1","0",,,,"64","65024","156","412","0","1","0","0x0011","0.000483000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.294653000","0.000483000","0.061404000","0.000483000",
"30","Dec  2, 2022 15:45:41.277046000 EST","102.0.0.14","101.0.0.10","6","66","52","1","0",,,,"62","64128","413","156","0","1","0","0x0010","0.029935000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.324588000","0.029935000","0.091339000","0.029935000",
"31","Dec  2, 2022 15:45:41.722078000 EST","102.0.0.15","101.0.0.10","6","74","60","1","0",,,,"62","64240","0","0","0","2","0","0x0002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.769620000","0.445032000","0.000000000","0.000000000",
"32","Dec  2, 2022 15:45:41.722376000 EST","101.0.0.10","102.0.0.15","6","74","60","1","0",,,,"64","65160","1","0","0","2","0","0x0012","0.000298000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.769918000","0.000298000","0.000298000","0.000298000",
"33","Dec  2, 2022 15:45:41.752463000 EST","102.0.0.15","101.0.0.10","6","66","52","1","0",,,,"62","64256","1","1","0","2","0","0x0010","0.030087000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.800005000","0.030087000","0.030385000","0.030087000",
"34","Dec  2, 2022 15:45:41.752577000 EST","102.0.0.15","101.0.0.10","6","220","206","1","0",,,,"62","64256","1","1","154","2","0","0x0018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"66.800119000","0.000114000","0.030499000","0.000114000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a206576696c2e646e650d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32382e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"35","Dec  2, 2022 15:45:41.752827000 EST","101.0.0.10","102.0.0.15","6","66","52","1","0",,,,"64","65024","155","1","0","2","0","0x0010","0.000250000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.800369000","0.000250000","0.030749000","0.000250000",
