frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"49","Dec  2, 2022 15:45:40.641002000 EST","172.17.0.10","172.16.2.10","17","79"
"50","Dec  2, 2022 15:45:40.660003000 EST","102.0.0.11","172.17.0.10","17","68"
"51","Dec  2, 2022 15:45:40.660094000 EST","102.0.0.11","172.17.0.10","17","68"
"52","Dec  2, 2022 15:45:40.660475000 EST","172.17.0.10","102.0.0.11","17","84"
"53","Dec  2, 2022 15:45:40.670207000 EST","172.16.2.10","172.17.0.10","17","155"
"54","Dec  2, 2022 15:45:40.671172000 EST","172.17.0.10","102.0.0.11","17","135"
"55","Dec  2, 2022 15:45:40.671963000 EST","172.17.0.10","102.0.0.15","17","135"
"56","Dec  2, 2022 15:45:41.156403000 EST","102.0.0.14","172.17.0.10","17","68"
"57","Dec  2, 2022 15:45:41.156488000 EST","102.0.0.14","172.17.0.10","17","68"
"58","Dec  2, 2022 15:45:41.156906000 EST","172.17.0.10","102.0.0.14","17","84"
"59","Dec  2, 2022 15:45:41.156989000 EST","172.17.0.10","102.0.0.14","17","135"
"60","Dec  2, 2022 15:45:42.087575000 EST","102.0.0.12","172.17.0.10","17","68"
"61","Dec  2, 2022 15:45:42.087663000 EST","102.0.0.12","172.17.0.10","17","68"
"62","Dec  2, 2022 15:45:42.087998000 EST","172.17.0.10","102.0.0.12","17","84"
"63","Dec  2, 2022 15:45:42.088082000 EST","172.17.0.10","102.0.0.12","17","135"
"64","Dec  2, 2022 15:45:43.724133000 EST","102.0.0.13","172.17.0.10","17","68"
"65","Dec  2, 2022 15:45:43.724538000 EST","172.17.0.10","102.0.0.13","17","84"
"66","Dec  2, 2022 15:45:43.744557000 EST","102.0.0.13","172.17.0.10","17","68"
"67","Dec  2, 2022 15:45:43.744984000 EST","172.17.0.10","102.0.0.13","17","135"
"68","Dec  2, 2022 15:45:43.779319000 EST",,,,"42"
"69","Dec  2, 2022 15:45:43.785075000 EST",,,,"60"
"70","Dec  2, 2022 15:45:48.511771000 EST","102.0.0.16","172.17.0.10","17","68"
"71","Dec  2, 2022 15:45:48.511860000 EST","102.0.0.16","172.17.0.10","17","68"
"72","Dec  2, 2022 15:45:48.512117000 EST","172.17.0.10","102.0.0.16","17","84"
"73","Dec  2, 2022 15:45:48.512195000 EST","172.17.0.10","102.0.0.16","17","135"
"74","Dec  2, 2022 15:45:48.785982000 EST",,,,"60"
"75","Dec  2, 2022 15:45:48.816465000 EST","102.0.0.19","172.17.0.10","17","68"
"76","Dec  2, 2022 15:45:48.816587000 EST","102.0.0.19","172.17.0.10","17","68"
"77","Dec  2, 2022 15:45:48.816967000 EST","172.17.0.10","102.0.0.19","17","84"
"78","Dec  2, 2022 15:45:48.817059000 EST","172.17.0.10","102.0.0.19","17","135"
"79","Dec  2, 2022 15:45:48.837010000 EST","102.0.0.20","172.17.0.10","17","68"
"80","Dec  2, 2022 15:45:48.837120000 EST","102.0.0.20","172.17.0.10","17","68"
