frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"67","Dec 31, 1969 19:04:03.782038000 EST","102.0.0.14","95.217.16.212","6","40"
"68","Dec 31, 1969 19:04:04.000038000 EST","102.0.0.14","95.217.16.212","6","576"
"69","Dec 31, 1969 19:04:04.100038000 EST","95.217.16.212","102.0.0.14","6","576"
"70","Dec 31, 1969 19:04:04.100038000 EST","102.0.0.14","95.217.16.212","6","576"
"71","Dec 31, 1969 19:04:04.201038000 EST","95.217.16.212","102.0.0.14","6","40"
"72","Dec 31, 1969 19:04:04.349648000 EST","95.217.16.212","102.0.0.14","6","576"
"73","Dec 31, 1969 19:04:04.349648000 EST","102.0.0.14","95.217.16.212","6","576"
"74","Dec 31, 1969 19:04:04.450648000 EST","95.217.16.212","102.0.0.14","6","40"
"75","Dec 31, 1969 19:04:04.753958000 EST","95.217.16.212","102.0.0.14","6","576"
"76","Dec 31, 1969 19:04:04.754958000 EST","102.0.0.14","95.217.16.212","6","40"
"77","Dec 31, 1969 19:04:05.000958000 EST","102.0.0.14","145.239.82.229","6","40"
"78","Dec 31, 1969 19:04:05.100958000 EST","145.239.82.229","102.0.0.14","6","40"
"79","Dec 31, 1969 19:04:05.100958000 EST","102.0.0.14","145.239.82.229","6","557"
"80","Dec 31, 1969 19:04:05.200958000 EST","145.239.82.229","102.0.0.14","6","1203"
"81","Dec 31, 1969 19:04:05.200958000 EST","102.0.0.14","145.239.82.229","6","120"
"82","Dec 31, 1969 19:04:05.200958000 EST","102.0.0.14","145.239.82.229","6","73"
"83","Dec 31, 1969 19:04:05.300958000 EST","145.239.82.229","102.0.0.14","6","119"
"84","Dec 31, 1969 19:04:05.300958000 EST","145.239.82.229","102.0.0.14","6","119"
"85","Dec 31, 1969 19:04:05.300958000 EST","145.239.82.229","102.0.0.14","6","1500"
"86","Dec 31, 1969 19:04:05.301958000 EST","102.0.0.14","145.239.82.229","6","40"
"87","Dec 31, 1969 19:04:05.401958000 EST","145.239.82.229","102.0.0.14","6","616"
"88","Dec 31, 1969 19:04:05.401958000 EST","102.0.0.14","145.239.82.229","6","1090"
"89","Dec 31, 1969 19:04:05.502958000 EST","145.239.82.229","102.0.0.14","6","40"
"90","Dec 31, 1969 19:04:05.510530000 EST","145.239.82.229","102.0.0.14","6","576"
"91","Dec 31, 1969 19:04:05.510530000 EST","102.0.0.14","145.239.82.229","6","576"
"92","Dec 31, 1969 19:04:05.611530000 EST","145.239.82.229","102.0.0.14","6","40"
"93","Dec 31, 1969 19:04:05.658056000 EST","145.239.82.229","102.0.0.14","6","576"
"94","Dec 31, 1969 19:04:05.658056000 EST","102.0.0.14","145.239.82.229","6","576"
"95","Dec 31, 1969 19:04:05.759056000 EST","145.239.82.229","102.0.0.14","6","40"
"96","Dec 31, 1969 19:04:05.827996000 EST","145.239.82.229","102.0.0.14","6","576"
"97","Dec 31, 1969 19:04:05.828996000 EST","102.0.0.14","145.239.82.229","6","40"
"98","Dec 31, 1969 19:04:06.000996000 EST","102.0.0.14","145.239.82.229","6","576"
"99","Dec 31, 1969 19:04:06.101996000 EST","145.239.82.229","102.0.0.14","6","40"
"100","Dec 31, 1969 19:04:06.103806000 EST","145.239.82.229","102.0.0.14","6","576"
"101","Dec 31, 1969 19:04:06.103806000 EST","102.0.0.14","145.239.82.229","6","576"
"102","Dec 31, 1969 19:04:06.204806000 EST","145.239.82.229","102.0.0.14","6","40"
"103","Dec 31, 1969 19:04:06.241334000 EST","145.239.82.229","102.0.0.14","6","576"
"104","Dec 31, 1969 19:04:06.241334000 EST","102.0.0.14","145.239.82.229","6","576"
"105","Dec 31, 1969 19:04:06.342334000 EST","145.239.82.229","102.0.0.14","6","40"
"106","Dec 31, 1969 19:04:06.393274000 EST","145.239.82.229","102.0.0.14","6","576"
"107","Dec 31, 1969 19:04:06.394274000 EST","102.0.0.14","145.239.82.229","6","40"
"108","Dec 31, 1969 19:04:07.001274000 EST","102.0.0.14","145.239.82.229","6","576"
"109","Dec 31, 1969 19:04:07.102274000 EST","145.239.82.229","102.0.0.14","6","40"
"110","Dec 31, 1969 19:04:07.110511000 EST","145.239.82.229","102.0.0.14","6","576"
"111","Dec 31, 1969 19:04:07.110511000 EST","102.0.0.14","145.239.82.229","6","576"
"112","Dec 31, 1969 19:04:07.211511000 EST","145.239.82.229","102.0.0.14","6","40"
"113","Dec 31, 1969 19:04:07.248039000 EST","145.239.82.229","102.0.0.14","6","576"
"114","Dec 31, 1969 19:04:07.248039000 EST","102.0.0.14","145.239.82.229","6","576"
"115","Dec 31, 1969 19:04:07.349039000 EST","145.239.82.229","102.0.0.14","6","40"
"116","Dec 31, 1969 19:04:07.446671000 EST","145.239.82.229","102.0.0.14","6","576"
"117","Dec 31, 1969 19:04:07.447671000 EST","102.0.0.14","145.239.82.229","6","40"
"118","Dec 31, 1969 19:04:09.627352000 EST","95.217.16.212","102.0.0.14","6","576"
"119","Dec 31, 1969 19:04:09.628352000 EST","102.0.0.14","95.217.16.212","6","40"
"120","Dec 31, 1969 19:04:12.253352000 EST","102.0.0.14","145.239.82.229","6","576"
"121","Dec 31, 1969 19:04:12.354352000 EST","145.239.82.229","102.0.0.14","6","40"
"122","Dec 31, 1969 19:04:17.642352000 EST","102.0.0.14","95.217.16.212","6","576"
"123","Dec 31, 1969 19:04:17.743352000 EST","95.217.16.212","102.0.0.14","6","40"
"124","Dec 31, 1969 19:04:18.002352000 EST","102.0.0.14","95.217.16.212","6","576"
"125","Dec 31, 1969 19:04:18.103352000 EST","95.217.16.212","102.0.0.14","6","40"
"126","Dec 31, 1969 19:04:18.111060000 EST","95.217.16.212","102.0.0.14","6","576"
"127","Dec 31, 1969 19:04:18.111060000 EST","102.0.0.14","95.217.16.212","6","576"
"128","Dec 31, 1969 19:04:18.212060000 EST","95.217.16.212","102.0.0.14","6","40"
"129","Dec 31, 1969 19:04:18.241520000 EST","95.217.16.212","102.0.0.14","6","576"
"130","Dec 31, 1969 19:04:18.241520000 EST","102.0.0.14","95.217.16.212","6","576"
"131","Dec 31, 1969 19:04:18.342520000 EST","95.217.16.212","102.0.0.14","6","40"
"132","Dec 31, 1969 19:04:18.409508000 EST","95.217.16.212","102.0.0.14","6","576"
"133","Dec 31, 1969 19:04:18.410508000 EST","102.0.0.14","95.217.16.212","6","40"
"134","Dec 31, 1969 19:04:18.793825000 EST","145.239.82.229","102.0.0.14","6","576"
"135","Dec 31, 1969 19:04:18.794825000 EST","102.0.0.14","145.239.82.229","6","40"
"136","Dec 31, 1969 19:04:23.687825000 EST","102.0.0.14","95.217.16.212","6","576"
"137","Dec 31, 1969 19:04:23.788825000 EST","95.217.16.212","102.0.0.14","6","40"
"138","Dec 31, 1969 19:04:27.775825000 EST","102.0.0.14","145.239.82.229","6","576"
"139","Dec 31, 1969 19:04:27.876825000 EST","145.239.82.229","102.0.0.14","6","40"
"140","Dec 31, 1969 19:04:29.002825000 EST","102.0.0.14","95.217.16.212","6","576"
"141","Dec 31, 1969 19:04:29.103825000 EST","95.217.16.212","102.0.0.14","6","40"
"142","Dec 31, 1969 19:04:29.111915000 EST","95.217.16.212","102.0.0.14","6","576"
"143","Dec 31, 1969 19:04:29.111915000 EST","102.0.0.14","95.217.16.212","6","576"
"144","Dec 31, 1969 19:04:29.212915000 EST","95.217.16.212","102.0.0.14","6","40"
"145","Dec 31, 1969 19:04:29.361525000 EST","95.217.16.212","102.0.0.14","6","576"
"146","Dec 31, 1969 19:04:29.361525000 EST","102.0.0.14","95.217.16.212","6","576"
"147","Dec 31, 1969 19:04:29.462525000 EST","95.217.16.212","102.0.0.14","6","40"
"148","Dec 31, 1969 19:04:29.765835000 EST","95.217.16.212","102.0.0.14","6","576"
"149","Dec 31, 1969 19:04:29.766835000 EST","102.0.0.14","95.217.16.212","6","40"
"150","Dec 31, 1969 19:04:32.687450000 EST","145.239.82.229","102.0.0.14","6","576"
"151","Dec 31, 1969 19:04:32.688450000 EST","102.0.0.14","145.239.82.229","6","40"
"152","Dec 31, 1969 19:04:33.596989000 EST","95.217.16.212","102.0.0.14","6","576"
"153","Dec 31, 1969 19:04:33.597989000 EST","102.0.0.14","95.217.16.212","6","40"
"154","Dec 31, 1969 19:04:39.617989000 EST","102.0.0.14","145.239.82.229","6","576"
"155","Dec 31, 1969 19:04:39.718989000 EST","145.239.82.229","102.0.0.14","6","40"
"156","Dec 31, 1969 19:04:40.003989000 EST","102.0.0.14","95.217.16.212","6","576"
"157","Dec 31, 1969 19:04:40.103989000 EST","95.217.16.212","102.0.0.14","6","576"
"158","Dec 31, 1969 19:04:40.103989000 EST","102.0.0.14","95.217.16.212","6","576"
"159","Dec 31, 1969 19:04:40.204989000 EST","95.217.16.212","102.0.0.14","6","40"
"160","Dec 31, 1969 19:04:40.357986000 EST","95.217.16.212","102.0.0.14","6","576"
"161","Dec 31, 1969 19:04:40.357986000 EST","102.0.0.14","95.217.16.212","6","576"
"162","Dec 31, 1969 19:04:40.458986000 EST","95.217.16.212","102.0.0.14","6","40"
"163","Dec 31, 1969 19:04:40.762296000 EST","95.217.16.212","102.0.0.14","6","576"
"164","Dec 31, 1969 19:04:40.763296000 EST","102.0.0.14","95.217.16.212","6","40"
"165","Dec 31, 1969 19:04:46.736296000 EST","102.0.0.14","145.239.82.229","6","576"
"166","Dec 31, 1969 19:04:46.837296000 EST","145.239.82.229","102.0.0.14","6","40"
"167","Dec 31, 1969 19:04:48.651296000 EST","102.0.0.14","95.217.16.212","6","576"
"168","Dec 31, 1969 19:04:48.752296000 EST","95.217.16.212","102.0.0.14","6","40"
"169","Dec 31, 1969 19:04:51.004296000 EST","102.0.0.14","95.217.16.212","6","576"
"170","Dec 31, 1969 19:04:51.104296000 EST","95.217.16.212","102.0.0.14","6","576"
"171","Dec 31, 1969 19:04:51.104296000 EST","102.0.0.14","95.217.16.212","6","576"
"172","Dec 31, 1969 19:04:51.205296000 EST","95.217.16.212","102.0.0.14","6","40"
"173","Dec 31, 1969 19:04:51.259102000 EST","95.217.16.212","102.0.0.14","6","576"
"174","Dec 31, 1969 19:04:51.259102000 EST","102.0.0.14","95.217.16.212","6","576"
"175","Dec 31, 1969 19:04:51.360102000 EST","95.217.16.212","102.0.0.14","6","40"
"176","Dec 31, 1969 19:04:51.461434000 EST","95.217.16.212","102.0.0.14","6","576"
"177","Dec 31, 1969 19:04:51.462434000 EST","102.0.0.14","95.217.16.212","6","40"
