frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,tcp.payload
"20","Dec 31, 1969 19:30:00.220890000 EST","5.2.72.101","101.0.0.10","6","40","40","1","0",,,,"64","1008","1","4294967295","0","3","0","0x0010","0.101000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.102599000","0.000821000","0.101000000","0.101000000",
"21","Dec 31, 1969 19:30:00.254515000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","1","4294967295","0","4","0","0x0010","0.101000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.136224000","0.033625000","0.101000000","0.101000000",
"22","Dec 31, 1969 19:30:00.254515000 EST","46.59.65.88","101.0.0.10","6","40","40","1","0",,,,"64","1487","1","4294967295","0","5","0","0x0010","0.101000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.136224000","0.000000000","0.101000000","0.101000000",
"23","Dec 31, 1969 19:30:00.358873000 EST","46.59.65.88","101.0.0.10","6","201","201","1","0",,,,"64","1487","1","1","161","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.240582000","0.104358000","0.240582000","0.139582000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"24","Dec 31, 1969 19:30:00.358873000 EST","101.0.0.10","46.59.65.88","6","132","132","1","0",,,,"64","119","2","1","92","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.240582000","0.000000000","0.240582000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"25","Dec 31, 1969 19:30:00.358873000 EST","101.0.0.10","46.59.65.88","6","63","63","1","0",,,,"64","119","2","2","23","0","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.240582000","0.000000000","0.240582000","0.000000000","48656c6c6f20776f726c64095468726561642d3109370a"
"26","Dec 31, 1969 19:30:00.365206000 EST","5.2.72.101","101.0.0.10","6","201","201","1","0",,,,"64","1008","1","1","161","1","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.246915000","0.006333000","0.246804000","0.145804000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
"27","Dec 31, 1969 19:30:00.365206000 EST","101.0.0.10","5.2.72.101","6","132","132","1","0",,,,"64","119","2","1","92","1","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.246915000","0.000000000","0.246804000","0.000000000","485454502f312e3020323030204f4b0d0a5365727665723a2042617365485454502f302e3620507974686f6e2f332e382e31300d0a446174653a205361742c203031204a616e20323030302030303a33303a303020474d540d0a0d0a"
"28","Dec 31, 1969 19:30:00.365206000 EST","101.0.0.10","5.2.72.101","6","63","63","1","0",,,,"64","119","2","2","23","1","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.246915000","0.000000000","0.246804000","0.000000000","48656c6c6f20776f726c64095468726561642d3209360a"
"29","Dec 31, 1969 19:30:00.367670000 EST","5.2.72.101","101.0.0.10","6","201","201","1","0",,,,"64","1008","1","1","161","3","0","0x0010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,"0.249379000","0.002464000","0.247780000","0.146780000","474554202f7265736f7572636531302e68746d6c20485454502f312e310d0a486f73743a203130312e302e302e31303a383038300d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32322e300d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a"
