timestamp,source_ip,destination_ip,domain,resource
1670354249,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354309,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354429,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354489,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354610,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354670,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354790,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354910,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670354970,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355030,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355151,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355271,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355331,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355391,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355511,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355631,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355691,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355752,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355812,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355872,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
1670355932,102.0.0.75,101.0.0.10,evil.dne,/resource70.html
