timestamp,source_ip,destination_ip,domain,resource
1670354243,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354303,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354423,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354544,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354604,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354664,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354784,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354844,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670354964,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355025,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355145,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355265,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355325,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355445,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355565,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355686,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355806,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
1670355926,102.0.0.67,101.0.0.10,evil.dne,/resource65.html
