timestamp,source_ip,destination_ip,domain,resource
1670354318,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354438,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354498,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354558,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354678,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354738,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354859,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670354979,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355099,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355159,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355219,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355340,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355460,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355520,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355640,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355700,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355820,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670355941,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
1670356061,102.0.0.106,101.0.0.10,evil.dne,/resource105.html
