timestamp,source_ip,destination_ip,domain,resource
1670354283,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354403,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354523,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354583,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354643,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354703,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354824,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670354884,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355004,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355124,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355184,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355244,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355305,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355425,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355485,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355545,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355665,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355725,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355786,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670355906,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
1670356026,102.0.0.74,101.0.0.10,evil.dne,/resource70.html
