frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"68","Dec 31, 1969 19:54:50.150318000 EST","127.0.0.1","127.0.0.1","6","128"
"69","Dec 31, 1969 19:54:50.151318000 EST","127.0.0.1","127.0.0.1","6","40"
"70","Dec 31, 1969 19:54:50.151318000 EST","127.0.0.1","127.0.0.1","6","40"
"71","Dec 31, 1969 19:54:50.265230000 EST","127.0.0.1","127.0.0.1","6","133"
"72","Dec 31, 1969 19:54:50.265230000 EST","127.0.0.1","127.0.0.1","6","133"
"73","Dec 31, 1969 19:54:50.266230000 EST","127.0.0.1","127.0.0.1","6","40"
"74","Dec 31, 1969 19:54:50.266230000 EST","127.0.0.1","127.0.0.1","6","40"
"75","Dec 31, 1969 19:54:50.380142000 EST","127.0.0.1","127.0.0.1","6","137"
"76","Dec 31, 1969 19:54:50.380142000 EST","127.0.0.1","127.0.0.1","6","137"
"77","Dec 31, 1969 19:54:50.381142000 EST","127.0.0.1","127.0.0.1","6","40"
"78","Dec 31, 1969 19:54:50.381142000 EST","127.0.0.1","127.0.0.1","6","40"
"79","Dec 31, 1969 19:54:50.610966000 EST","127.0.0.1","127.0.0.1","6","503"
"80","Dec 31, 1969 19:54:50.610966000 EST","127.0.0.1","127.0.0.1","6","503"
"81","Dec 31, 1969 19:54:50.611966000 EST","127.0.0.1","127.0.0.1","6","40"
"82","Dec 31, 1969 19:54:50.611966000 EST","127.0.0.1","127.0.0.1","6","40"
"83","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","159"
"84","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","159"
"85","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","59"
"86","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","59"
"87","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","72"
"88","Dec 31, 1969 19:56:18.075496000 EST","127.0.0.1","127.0.0.1","6","72"
"89","Dec 31, 1969 19:56:18.076496000 EST","127.0.0.1","127.0.0.1","6","40"
"90","Dec 31, 1969 19:56:18.076496000 EST","127.0.0.1","127.0.0.1","6","40"
