frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len
"1","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"2","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"3","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"4","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","40"
"5","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"6","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","65"
"7","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"8","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"9","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"10","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","72"
"11","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"12","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","136"
"13","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"14","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","74"
"15","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"16","Dec 31, 1969 19:00:02.000000000 EST","127.0.0.1","127.0.0.1","6","48"
"17","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"18","Dec 31, 1969 19:00:02.001000000 EST","127.0.0.1","127.0.0.1","6","40"
"19","Dec 31, 1969 19:02:30.001653000 EST","127.0.0.1","127.0.0.1","6","126"
"20","Dec 31, 1969 19:02:30.001653000 EST","127.0.0.1","127.0.0.1","6","126"
"21","Dec 31, 1969 19:02:30.002653000 EST","127.0.0.1","127.0.0.1","6","40"
"22","Dec 31, 1969 19:02:30.002653000 EST","127.0.0.1","127.0.0.1","6","40"
"23","Dec 31, 1969 19:02:30.023653000 EST","127.0.0.1","127.0.0.1","6","503"
"24","Dec 31, 1969 19:02:30.023653000 EST","127.0.0.1","127.0.0.1","6","503"
"25","Dec 31, 1969 19:02:30.024653000 EST","127.0.0.1","127.0.0.1","6","40"
"26","Dec 31, 1969 19:02:30.024653000 EST","127.0.0.1","127.0.0.1","6","40"
"27","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","159"
"28","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","159"
"29","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","59"
"30","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","59"
"31","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","69"
"32","Dec 31, 1969 19:02:30.359475000 EST","127.0.0.1","127.0.0.1","6","69"
"33","Dec 31, 1969 19:02:30.360475000 EST","127.0.0.1","127.0.0.1","6","40"
"34","Dec 31, 1969 19:02:30.360475000 EST","127.0.0.1","127.0.0.1","6","40"
"35","Dec 31, 1969 19:02:31.024475000 EST","127.0.0.1","127.0.0.1","6","143"
"36","Dec 31, 1969 19:02:31.024475000 EST","127.0.0.1","127.0.0.1","6","143"
"37","Dec 31, 1969 19:02:31.025475000 EST","127.0.0.1","127.0.0.1","6","40"
"38","Dec 31, 1969 19:02:31.025475000 EST","127.0.0.1","127.0.0.1","6","40"
"39","Dec 31, 1969 19:02:31.037735000 EST","127.0.0.1","127.0.0.1","6","197"
"40","Dec 31, 1969 19:02:31.037735000 EST","127.0.0.1","127.0.0.1","6","197"
"41","Dec 31, 1969 19:02:31.038735000 EST","127.0.0.1","127.0.0.1","6","40"
"42","Dec 31, 1969 19:02:31.038735000 EST","127.0.0.1","127.0.0.1","6","40"
"43","Dec 31, 1969 19:02:31.089201000 EST","127.0.0.1","127.0.0.1","6","250"
"44","Dec 31, 1969 19:02:31.089201000 EST","127.0.0.1","127.0.0.1","6","250"
"45","Dec 31, 1969 19:02:31.090201000 EST","127.0.0.1","127.0.0.1","6","40"
"46","Dec 31, 1969 19:02:31.090201000 EST","127.0.0.1","127.0.0.1","6","40"
"47","Dec 31, 1969 19:02:31.206473000 EST","127.0.0.1","127.0.0.1","6","573"
"48","Dec 31, 1969 19:02:31.206473000 EST","127.0.0.1","127.0.0.1","6","573"
"49","Dec 31, 1969 19:02:31.207473000 EST","127.0.0.1","127.0.0.1","6","40"
"50","Dec 31, 1969 19:02:31.207473000 EST","127.0.0.1","127.0.0.1","6","40"
"51","Dec 31, 1969 19:02:31.360321000 EST","127.0.0.1","127.0.0.1","6","59"
"52","Dec 31, 1969 19:02:31.360321000 EST","127.0.0.1","127.0.0.1","6","59"
"53","Dec 31, 1969 19:02:31.361321000 EST","127.0.0.1","127.0.0.1","6","40"
"54","Dec 31, 1969 19:02:31.361321000 EST","127.0.0.1","127.0.0.1","6","40"
"55","Dec 31, 1969 19:02:32.024729000 EST","127.0.0.1","127.0.0.1","6","172"
"56","Dec 31, 1969 19:02:32.024729000 EST","127.0.0.1","127.0.0.1","6","172"
"57","Dec 31, 1969 19:02:32.025729000 EST","127.0.0.1","127.0.0.1","6","40"
"58","Dec 31, 1969 19:02:32.025729000 EST","127.0.0.1","127.0.0.1","6","40"
"59","Dec 31, 1969 19:02:32.037989000 EST","127.0.0.1","127.0.0.1","6","226"
"60","Dec 31, 1969 19:02:32.037989000 EST","127.0.0.1","127.0.0.1","6","226"
"61","Dec 31, 1969 19:02:32.038989000 EST","127.0.0.1","127.0.0.1","6","40"
"62","Dec 31, 1969 19:02:32.038989000 EST","127.0.0.1","127.0.0.1","6","40"
"63","Dec 31, 1969 19:02:32.349869000 EST","127.0.0.1","127.0.0.1","6","284"
"64","Dec 31, 1969 19:02:32.349869000 EST","127.0.0.1","127.0.0.1","6","284"
"65","Dec 31, 1969 19:02:32.350869000 EST","127.0.0.1","127.0.0.1","6","40"
"66","Dec 31, 1969 19:02:32.350869000 EST","127.0.0.1","127.0.0.1","6","40"
"67","Dec 31, 1969 19:02:32.360869000 EST","127.0.0.1","127.0.0.1","6","58"
"68","Dec 31, 1969 19:02:32.360869000 EST","127.0.0.1","127.0.0.1","6","58"
"69","Dec 31, 1969 19:02:32.361869000 EST","127.0.0.1","127.0.0.1","6","40"
"70","Dec 31, 1969 19:02:32.361869000 EST","127.0.0.1","127.0.0.1","6","40"
"71","Dec 31, 1969 19:02:32.722683000 EST","127.0.0.1","127.0.0.1","6","631"
"72","Dec 31, 1969 19:02:32.722683000 EST","127.0.0.1","127.0.0.1","6","631"
"73","Dec 31, 1969 19:02:32.723683000 EST","127.0.0.1","127.0.0.1","6","40"
"74","Dec 31, 1969 19:02:32.723683000 EST","127.0.0.1","127.0.0.1","6","40"
"75","Dec 31, 1969 19:02:33.025683000 EST","127.0.0.1","127.0.0.1","6","172"
"76","Dec 31, 1969 19:02:33.025683000 EST","127.0.0.1","127.0.0.1","6","172"
"77","Dec 31, 1969 19:02:33.026683000 EST","127.0.0.1","127.0.0.1","6","40"
"78","Dec 31, 1969 19:02:33.026683000 EST","127.0.0.1","127.0.0.1","6","40"
"79","Dec 31, 1969 19:02:33.038943000 EST","127.0.0.1","127.0.0.1","6","226"
"80","Dec 31, 1969 19:02:33.038943000 EST","127.0.0.1","127.0.0.1","6","226"
"81","Dec 31, 1969 19:02:33.039943000 EST","127.0.0.1","127.0.0.1","6","40"
"82","Dec 31, 1969 19:02:33.039943000 EST","127.0.0.1","127.0.0.1","6","40"
"83","Dec 31, 1969 19:02:33.120413000 EST","127.0.0.1","127.0.0.1","6","284"
"84","Dec 31, 1969 19:02:33.120413000 EST","127.0.0.1","127.0.0.1","6","284"
"85","Dec 31, 1969 19:02:33.121413000 EST","127.0.0.1","127.0.0.1","6","40"
"86","Dec 31, 1969 19:02:33.121413000 EST","127.0.0.1","127.0.0.1","6","40"
"87","Dec 31, 1969 19:02:33.256349000 EST","127.0.0.1","127.0.0.1","6","631"
"88","Dec 31, 1969 19:02:33.256349000 EST","127.0.0.1","127.0.0.1","6","631"
"89","Dec 31, 1969 19:02:33.257349000 EST","127.0.0.1","127.0.0.1","6","40"
"90","Dec 31, 1969 19:02:33.257349000 EST","127.0.0.1","127.0.0.1","6","40"
"91","Dec 31, 1969 19:02:33.361349000 EST","127.0.0.1","127.0.0.1","6","58"
"92","Dec 31, 1969 19:02:33.361349000 EST","127.0.0.1","127.0.0.1","6","58"
"93","Dec 31, 1969 19:02:33.362349000 EST","127.0.0.1","127.0.0.1","6","40"
"94","Dec 31, 1969 19:02:33.362349000 EST","127.0.0.1","127.0.0.1","6","40"
"95","Dec 31, 1969 19:02:34.026349000 EST","127.0.0.1","127.0.0.1","6","172"
"96","Dec 31, 1969 19:02:34.026349000 EST","127.0.0.1","127.0.0.1","6","172"
"97","Dec 31, 1969 19:02:34.027349000 EST","127.0.0.1","127.0.0.1","6","40"
"98","Dec 31, 1969 19:02:34.027349000 EST","127.0.0.1","127.0.0.1","6","40"
"99","Dec 31, 1969 19:02:34.086155000 EST","127.0.0.1","127.0.0.1","6","227"
"100","Dec 31, 1969 19:02:34.086155000 EST","127.0.0.1","127.0.0.1","6","227"
"101","Dec 31, 1969 19:02:34.087155000 EST","127.0.0.1","127.0.0.1","6","40"
"102","Dec 31, 1969 19:02:34.087155000 EST","127.0.0.1","127.0.0.1","6","40"
"103","Dec 31, 1969 19:02:34.205767000 EST","127.0.0.1","127.0.0.1","6","285"
"104","Dec 31, 1969 19:02:34.205767000 EST","127.0.0.1","127.0.0.1","6","285"
"105","Dec 31, 1969 19:02:34.206767000 EST","127.0.0.1","127.0.0.1","6","40"
"106","Dec 31, 1969 19:02:34.206767000 EST","127.0.0.1","127.0.0.1","6","40"
"107","Dec 31, 1969 19:02:34.361767000 EST","127.0.0.1","127.0.0.1","6","58"
"108","Dec 31, 1969 19:02:34.361767000 EST","127.0.0.1","127.0.0.1","6","58"
"109","Dec 31, 1969 19:02:34.362767000 EST","127.0.0.1","127.0.0.1","6","40"
"110","Dec 31, 1969 19:02:34.362767000 EST","127.0.0.1","127.0.0.1","6","40"
"111","Dec 31, 1969 19:02:34.385185000 EST","127.0.0.1","127.0.0.1","6","633"
"112","Dec 31, 1969 19:02:34.385185000 EST","127.0.0.1","127.0.0.1","6","633"
"113","Dec 31, 1969 19:02:34.386185000 EST","127.0.0.1","127.0.0.1","6","40"
"114","Dec 31, 1969 19:02:34.386185000 EST","127.0.0.1","127.0.0.1","6","40"
"115","Dec 31, 1969 19:02:35.362185000 EST","127.0.0.1","127.0.0.1","6","56"
"116","Dec 31, 1969 19:02:35.362185000 EST","127.0.0.1","127.0.0.1","6","56"
"117","Dec 31, 1969 19:02:35.363185000 EST","127.0.0.1","127.0.0.1","6","40"
"118","Dec 31, 1969 19:02:35.363185000 EST","127.0.0.1","127.0.0.1","6","40"
"119","Dec 31, 1969 19:02:36.362185000 EST","127.0.0.1","127.0.0.1","6","53"
"120","Dec 31, 1969 19:02:36.362185000 EST","127.0.0.1","127.0.0.1","6","53"
"121","Dec 31, 1969 19:02:36.363185000 EST","127.0.0.1","127.0.0.1","6","40"
"122","Dec 31, 1969 19:02:36.363185000 EST","127.0.0.1","127.0.0.1","6","40"
