0.01	dim: 0	window: 3	skip: 1	k: 2	thresh: 1
0.02	dim: 0	window: 3	skip: 1	k: 2	thresh: 2
0.02	dim: 0	window: 3	skip: 1	k: 2	thresh: 3
0.22	dim: 0	window: 3	skip: 1	k: 2	thresh: 4
0.22	dim: 0	window: 3	skip: 1	k: 2	thresh: 5
0.22	dim: 0	window: 3	skip: 1	k: 2	thresh: 6
0.22	dim: 0	window: 3	skip: 1	k: 2	thresh: 7
0.35	dim: 0	window: 3	skip: 1	k: 2	thresh: 8
0.35	dim: 0	window: 3	skip: 1	k: 2	thresh: 9
0.35	dim: 0	window: 3	skip: 1	k: 2	thresh: 10
0.35	dim: 0	window: 3	skip: 1	k: 2	thresh: 11
0.57	dim: 0	window: 3	skip: 1	k: 2	thresh: 12
0.57	dim: 0	window: 3	skip: 1	k: 2	thresh: 13
0.57	dim: 0	window: 3	skip: 1	k: 2	thresh: 14
0.57	dim: 0	window: 3	skip: 1	k: 2	thresh: 15
0.53	dim: 0	window: 3	skip: 1	k: 2	thresh: 16
0.53	dim: 0	window: 3	skip: 1	k: 2	thresh: 17
0.53	dim: 0	window: 3	skip: 1	k: 2	thresh: 18
0.53	dim: 0	window: 3	skip: 1	k: 2	thresh: 19
0.01	dim: 0	window: 3	skip: 1	k: 3	thresh: 1
0.02	dim: 0	window: 3	skip: 1	k: 3	thresh: 2
0.02	dim: 0	window: 3	skip: 1	k: 3	thresh: 3
0.22	dim: 0	window: 3	skip: 1	k: 3	thresh: 4
0.22	dim: 0	window: 3	skip: 1	k: 3	thresh: 5
0.22	dim: 0	window: 3	skip: 1	k: 3	thresh: 6
0.22	dim: 0	window: 3	skip: 1	k: 3	thresh: 7
0.35	dim: 0	window: 3	skip: 1	k: 3	thresh: 8
0.35	dim: 0	window: 3	skip: 1	k: 3	thresh: 9
0.35	dim: 0	window: 3	skip: 1	k: 3	thresh: 10
0.35	dim: 0	window: 3	skip: 1	k: 3	thresh: 11
0.57	dim: 0	window: 3	skip: 1	k: 3	thresh: 12
0.57	dim: 0	window: 3	skip: 1	k: 3	thresh: 13
0.57	dim: 0	window: 3	skip: 1	k: 3	thresh: 14
0.57	dim: 0	window: 3	skip: 1	k: 3	thresh: 15
0.53	dim: 0	window: 3	skip: 1	k: 3	thresh: 16
0.53	dim: 0	window: 3	skip: 1	k: 3	thresh: 17
